College Name,Course,Caste,Gender,Rank Range,Cutoff Marks
JNTU COLLEGE OF ENGINEERING JAGITIAL,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,102996-102997,102997
JNTU COLLEGE OF ENGINEERING JAGITIAL,INFORMATION TECHNOLOGY,BCB,Female,18250-18251,18251
JNTU COLLEGE OF ENGINEERING JAGITIAL,MECHANICAL ENGINEERING,BCB,Female,112922-112923,112923
JNAFAU SCHOOL OF PLANNING AND ARCH - SELF FINANCE,DIGITAL TECHNIQUES FOR DESIGN AND PLANNING,BCB,Female,107873-107874,107874
JNAFAU SCHOOL OF PLANNING AND ARCH - SELF FINANCE,FACILITIES AND SERVICES PLANNING,BCB,Female,109717-109718,109718
JNAFAU SCHOOL OF PLANNING AND ARCH - SELF FINANCE,PLANNING,BCB,Female,109646-109647,109647
JNTU COLLEGE OF ENGG HYDERABAD,CHEMICAL ENGINEERING,BCB,Female,41843-41844,41844
JNTU COLLEGE OF ENGG HYDERABAD,CIVIL ENGINEERING,BCB,Female,23959-23960,23960
JNTU COLLEGE OF ENGG HYDERABAD,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,1461-1462,1462
JNTU COLLEGE OF ENGG HYDERABAD,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,4171-4172,4172
JNTU COLLEGE OF ENGG HYDERABAD,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,11620-11621,11621
JNTU COLLEGE OF ENGG HYDERABAD,MECHANICAL ENGINEERING,BCB,Female,27221-27222,27222
JNTU COLLEGE OF ENGG HYDERABAD,METALLURGICAL ENGINEERING,BCB,Female,100072-100073,100073
JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,CIVIL ENGINEERING,BCB,Female,50816-50817,50817
JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,9337-9338,9338
JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,14475-14476,14476
JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,30736-30737,30737
JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,BTECH MECHANICAL WITH MTECH MANUFACTURING SYSTEMS,BCB,Female,83785-83786,83786
JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,BTECH MECHANICAL WITH MTECH THERMAL ENGG,BCB,Female,62115-62116,62116
JNTUH COLLEGE OF ENGG MANTHANI,CIVIL ENGINEERING,BCB,Female,107380-107381,107381
JNTUH COLLEGE OF ENGG MANTHANI,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,24795-24796,24796
JNTUH COLLEGE OF ENGG MANTHANI,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,27687-27688,27688
JNTUH COLLEGE OF ENGG MANTHANI,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,91795-91796,91796
JNTUH COLLEGE OF ENGG MANTHANI,MECHANICAL ENGINEERING,BCB,Female,120179-120180,120180
JNTUH COLLEGE OF ENGG MANTHANI,MINING ENGINEERING,BCB,Female,99212-99213,99213
JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,CIVIL ENGINEERING,BCB,Female,117748-117749,117749
JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,33479-33480,33480
JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,116021-116022,116022
JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,116242-116243,116243
JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,MECHANICAL ENGINEERING,BCB,Female,115574-115575,115575
JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,TEXTILE TECHNOLOGY,BCB,Female,119989-119990,119990
J N T U COLLEGE OF ENGINEERING SULTANPUR,CIVIL ENGINEERING,BCB,Female,35325-35326,35326
J N T U COLLEGE OF ENGINEERING SULTANPUR,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,15967-15968,15968
J N T U COLLEGE OF ENGINEERING SULTANPUR,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,31988-31989,31989
J N T U COLLEGE OF ENGINEERING SULTANPUR,MECHANICAL ENGINEERING,BCB,Female,114880-114881,114881
J N T U COLLEGE OF ENGINEERING SULTANPUR,B. PHARMACY (M.P.C. STREAM),BCB,Female,120890-120891,120891
JOGINPALLY B R ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,108807-108808,108808
JOGINPALLY B R ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,77804-77805,77805
JOGINPALLY B R ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,111108-111109,111109
JOGINPALLY B R ENGINEERING COLLEGE,INFORMATION TECHNOLOGY,BCB,Female,85212-85213,85213
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,CIVIL ENGINEERING,BCB,Female,105290-105291,105291
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,113153-113154,113154
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,103425-103426,103426
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,58525-58526,58526
JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,MECHANICAL ENGINEERING,BCB,Female,78831-78832,78832
KSHATRIYA COLLEGE OF ENGINEERING,CIVIL ENGINEERING,BCB,Female,104687-104688,104688
KSHATRIYA COLLEGE OF ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,108618-108619,108619
KSHATRIYA COLLEGE OF ENGINEERING,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,64646-64647,64647
KSHATRIYA COLLEGE OF ENGINEERING,MECHANICAL ENGINEERING,BCB,Female,98252-98253,98253
KODADA INST OF TECHNOLOGY AND SCIENCE FOR WOMEN,CIVIL ENGINEERING,BCB,Female,117353-117354,117354
KODADA INST OF TECHNOLOGY AND SCIENCE FOR WOMEN,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,45154-45155,45155
KODADA INST OF TECHNOLOGY AND SCIENCE FOR WOMEN,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,110364-110365,110365
KODADA INST OF TECHNOLOGY AND SCIENCE FOR WOMEN,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,117740-117741,117741
KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,BCB,Female,116161-116162,116162
KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BCB,Female,93676-93677,93677
KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING,BCB,Female,85455-85456,85456
KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,83160-83161,83161
KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,109571-109572,109572
KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),MECHANICAL ENGINEERING,BCB,Female,54891-54892,54892
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,BCB,Female,112474-112475,112475
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,16458-16459,16459
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,18278-18279,18279
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,COMPUTER SCIENCE & ENGINEERING (NETWORKS),BCB,Female,40486-40487,40487
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,COMPUTER SCIENCE AND ENGINEERING (IOT),BCB,Female,26444-26445,26445
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,54396-54397,54397
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,ELECTRONICS COMMUNICATION AND INSTRUMENTATION ENGINEERING,BCB,Female,110514-110515,110515
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,120947-120948,120948
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,INFORMATION TECHNOLOGY,BCB,Female,40123-40124,40124
KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,MECHANICAL ENGINEERING,BCB,Female,120822-120823,120823
KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN,CIVIL ENGINEERING,BCB,Female,107244-107245,107245
KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,107807-107808,107808
KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,112620-112621,112621
KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,97448-97449,97449
KLRCOLLEGE OF ENGG AND TECHNOLOGY PALONCHA,CIVIL ENGINEERING,BCB,Female,118362-118363,118363
KLRCOLLEGE OF ENGG AND TECHNOLOGY PALONCHA,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,103948-103949,103949
KLRCOLLEGE OF ENGG AND TECHNOLOGY PALONCHA,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,114596-114597,114597
KLRCOLLEGE OF ENGG AND TECHNOLOGY PALONCHA,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,113252-113253,113253
KLRCOLLEGE OF ENGG AND TECHNOLOGY PALONCHA,MECHANICAL ENGINEERING,BCB,Female,118330-118331,118331
KLRCOLLEGE OF ENGG AND TECHNOLOGY PALONCHA,MINING ENGINEERING,BCB,Female,106313-106314,106314
KESHAV MEMORIAL ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,51966-51967,51967
KESHAV MEMORIAL ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,45777-45778,45778
KESHAV MEMORIAL INST OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BCB,Female,15577-15578,15578
KESHAV MEMORIAL INST OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,12332-12333,12333
KESHAV MEMORIAL INST OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,12703-12704,12704
KESHAV MEMORIAL INST OF TECHNOLOGY,INFORMATION TECHNOLOGY,BCB,Female,17286-17287,17287
KHAMMAM INST OF TECHNOLOGY AND SCIENCE,CIVIL ENGINEERING,BCB,Female,50850-50851,50851
KHAMMAM INST OF TECHNOLOGY AND SCIENCE,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,112004-112005,112005
KHAMMAM INST OF TECHNOLOGY AND SCIENCE,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,112790-112791,112791
KHAMMAM INST OF TECHNOLOGY AND SCIENCE,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,90730-90731,90731
KHAMMAM INST OF TECHNOLOGY AND SCIENCE,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,76183-76184,76184
KHAMMAM INST OF TECHNOLOGY AND SCIENCE,MECHANICAL ENGINEERING,BCB,Female,79965-79966,79966
KASIREDDY NARAYANAREDDY COLL ENGG RES,CIVIL ENGINEERING,BCB,Female,85201-85202,85202
KASIREDDY NARAYANAREDDY COLL ENGG RES,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BCB,Female,78702-78703,78703
KASIREDDY NARAYANAREDDY COLL ENGG RES,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,61196-61197,61197
KASIREDDY NARAYANAREDDY COLL ENGG RES,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,90344-90345,90345
KASIREDDY NARAYANAREDDY COLL ENGG RES,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,111106-111107,111107
KASIREDDY NARAYANAREDDY COLL ENGG RES,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,110636-110637,110637
KASIREDDY NARAYANAREDDY COLL ENGG RES,MECHANICAL ENGINEERING,BCB,Female,97709-97710,97710
KOMMURI PRATAP REDDY INST OF TECHNOLOGY,CIVIL ENGINEERING,BCB,Female,117754-117755,117755
KOMMURI PRATAP REDDY INST OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BCB,Female,108042-108043,108043
KOMMURI PRATAP REDDY INST OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,115211-115212,115212
KOMMURI PRATAP REDDY INST OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,112508-112509,112509
KOMMURI PRATAP REDDY INST OF TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,121363-121364,121364
KL R PHARMACY COLLEGE,B. PHARMACY (M.P.C. STREAM),BCB,Female,108131-108132,108132
SRI KRUPA INSTITUTE OF PHARMACEUTICAL SCIS,B. PHARMACY (M.P.C. STREAM),BCB,Female,118713-118714,118714
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,BCB,Female,112297-112298,112298
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,CIVIL ENGINEERING,BCB,Female,117541-117542,117542
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,66381-66382,66382
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,114002-114003,114003
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,54242-54243,54243
KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,MECHANICAL ENGINEERING,BCB,Female,65679-65680,65680
K U COLLEGE OF ENGG KOTHAGUDEM,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,53340-53341,53341
K U COLLEGE OF ENGG KOTHAGUDEM,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,116812-116813,116813
K U COLLEGE OF ENGG KOTHAGUDEM,MINING ENGINEERING,BCB,Female,91130-91131,91131
K U COLLEGE OF ENGG KOTHAGUDEM - SELF FINANCE,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,119589-119590,119590
K U COLLEGE OF ENGG KOTHAGUDEM - SELF FINANCE,INFORMATION TECHNOLOGY,BCB,Female,120907-120908,120908
K U COLLEGE OF ENGG KOTHAGUDEM - SELF FINANCE,MINING ENGINEERING,BCB,Female,96927-96928,96928
K U COLLEGE OF PHARMACEUTICAL SCIENCES,B. PHARMACY (M.P.C. STREAM),BCB,Female,84655-84656,84656
UNIVERSITY COLLEGE OF ENGG AND TECH FOR WOMEN KU CAMPUS,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,62043-62044,62044
UNIVERSITY COLLEGE OF ENGG AND TECH FOR WOMEN KU CAMPUS,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,109111-109112,109112
UNIVERSITY COLLEGE OF ENGG AND TECH FOR WOMEN KU CAMPUS,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,74610-74611,74611
UNIVERSITY COLLEGE OF ENGG AND TECH FOR WOMEN KU CAMPUS,INFORMATION TECHNOLOGY,BCB,Female,90716-90717,90717
KU COLLEGE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,27205-27206,27206
KU COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,31550-31551,31551
KU COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,68708-68709,68709
KU COLLEGE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,BCB,Female,120988-120989,120989
KU COLLEGE OF ENGINEERING AND TECHNOLOGY - SELF FINANCE,CIVIL ENGINEERING,BCB,Female,90031-90032,90032
KU COLLEGE OF ENGINEERING AND TECHNOLOGY - SELF FINANCE,INFORMATION TECHNOLOGY,BCB,Female,110232-110233,110233
K V K COLLEGE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),BCB,Female,85619-85620,85620
MAX INST OF PHARM SCI,B. PHARMACY (M.P.C. STREAM),BCB,Female,77223-77224,77224
MADHIRA INSTITUTE OF TECHNOLOGY AND SCI,CIVIL ENGINEERING,BCB,Female,59047-59048,59048
MADHIRA INSTITUTE OF TECHNOLOGY AND SCI,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,114262-114263,114263
MADHIRA INSTITUTE OF TECHNOLOGY AND SCI,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,121078-121079,121079
MADHIRA INSTITUTE OF TECHNOLOGY AND SCI,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,99293-99294,99294
MADIRA INST OF TECHNOLOGYAND SCI,B. PHARMACY (M.P.C. STREAM),BCB,Female,98468-98469,98469
MATRUSRI ENGINEERING COLLEGE,CIVIL ENGINEERING,BCB,Female,121112-121113,121113
MATRUSRI ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,34963-34964,34964
MATRUSRI ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,85531-85532,85532
MATRUSRI ENGINEERING COLLEGE,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,119270-119271,119271
MATRUSRI ENGINEERING COLLEGE,INFORMATION TECHNOLOGY,BCB,Female,42834-42835,42835
MATRUSRI ENGINEERING COLLEGE,MECHANICAL ENGINEERING,BCB,Female,70101-70102,70102
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,BCB,Female,115082-115083,115083
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),CIVIL ENGINEERING,BCB,Female,113112-113113,113113
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING,BCB,Female,61717-61718,61718
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,112782-112783,112783
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,112305-112306,112306
METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),MECHANICAL ENGINEERING,BCB,Female,114992-114993,114993
MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,BCB,Female,112084-112085,112085
MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,CIVIL ENGINEERING,BCB,Female,98800-98801,98801
MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,113593-113594,113594
MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,113541-113542,113542
MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,108010-108011,108011
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,BCB,Female,107515-107516,107516
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND BUSINESS SYSTEM,BCB,Female,27630-27631,27631
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BCB,Female,23072-23073,23073
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,17218-17219,17219
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,21140-21141,21141
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,60603-60604,60604
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,109185-109186,109186
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,INFORMATION TECHNOLOGY,BCB,Female,23441-23442,23442
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,MECHANICAL (MECHTRONICS) ENGINEERING,BCB,Female,67108-67109,67109
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,BCB,Female,109359-109360,109360
MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,METALLURGY AND MATERIAL ENGINEERING,BCB,Female,81099-81100,81100
MGU COLLEGE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,50311-50312,50312
MGU COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,87533-87534,87534
MGU COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,120653-120654,120654
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,AERONAUTICAL ENGINEERING,BCB,Female,113338-113339,113339
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,CIVIL ENGINEERING,BCB,Female,112774-112775,112775
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,114179-114180,114180
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,101024-101025,101025
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,87068-87069,87069
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,117256-117257,117257
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,INFORMATION TECHNOLOGY,BCB,Female,119558-119559,119559
MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,MECHANICAL ENGINEERING,BCB,Female,50793-50794,50794
MINA INST OF ENGG AND TECHNOLOGY FOR WOMEN,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,119317-119318,119318
MINA INST OF ENGG AND TECHNOLOGY FOR WOMEN,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,102955-102956,102956
MINA INST OF ENGG AND TECHNOLOGY FOR WOMEN,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,119391-119392,119392
MINA INST OF ENGG AND TECHNOLOGY FOR WOMEN,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,121474-121475,121475
MOHAMMADIYA INSTITUTE OF PHARMACY,B. PHARMACY (M.P.C. STREAM),BCB,Female,78597-78598,78598
MOONRAY INST OF PHARM SCI,B. PHARMACY (M.P.C. STREAM),BCB,Female,89111-89112,89112
M L R INSTITUTE OF TECHNOLOGY,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,BCB,Female,75795-75796,75796
M L R INSTITUTE OF TECHNOLOGY,AERONAUTICAL ENGINEERING,BCB,Female,120704-120705,120705
M L R INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),BCB,Female,86847-86848,86848
M L R INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BCB,Female,45186-45187,45187
M L R INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING,BCB,Female,30046-30047,30047
M L R INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,BCB,Female,53427-53428,53428
M L R INSTITUTE OF TECHNOLOGY,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,71095-71096,71096
M L R INSTITUTE OF TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,114642-114643,114643
M L R INSTITUTE OF TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGINEERING,BCB,Female,121061-121062,121062
M L R INSTITUTE OF TECHNOLOGY,INFORMATION TECHNOLOGY,BCB,Female,57649-57650,57650
M L R INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,BCB,Female,106633-106634,106634
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,BCB,Female,83602-83603,83603
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,BCB,Female,113464-113465,113465
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),AERONAUTICAL ENGINEERING,BCB,Female,120000-120001,120001
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),BCB,Female,96527-96528,96528
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),BCB,Female,56796-56797,56797
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING,BCB,Female,38075-38076,38076
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BCB,Female,97287-97288,97288
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGINEERING (IOT),BCB,Female,89261-89262,89262
MALLA REDDY COLLEGE OF ENGG TECHNOLOGY (AUTONOMOUS),ELECTRONICS AND COMMUNICATION ENGINEERING,BCB,Female,112211-112212,112212
